customer_key,customer_id,store_id,first_name,last_name,email
1,1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org
2,2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org
3,3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org
4,4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org
5,5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org
6,6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org
7,7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org
8,8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org
9,9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org
10,10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org
11,11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org
12,12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org
13,13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org
14,14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org
15,15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org
16,16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org
17,17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org
18,18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org
19,19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org
20,20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org
21,21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org
22,22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org
23,23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org
24,24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org
25,25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org
26,26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org
27,27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org
28,28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org
29,29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org
30,30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org
31,31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org
32,32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org
33,33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org
34,34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org
